Female,Male,18-29,30-44,45-64,65+,Bachelors,LTC,Post-grad,Black,Other,White,stname,Republican,Democrat,Independent,Something else,percent_christian,percent_non_christian
0.509758897818599,0.490241102181401,0.180252583237658,0.283582089552239,0.383467278989667,0.152698048220436,0.185993111366246,0.704936854190585,0.109070034443169,0.0229631125143513,0.17451305510907,0.802526832376579,AK,0.275862068965517,0.298850574712644,0.298850574712644,0.126436781609195,0.62,0.38
0.532911392405063,0.467088607594937,0.132911392405063,0.225316455696203,0.422784810126582,0.218987341772152,0.170886075949367,0.732911392405063,0.0962025316455696,0.237975683544304,0.0240516329113924,0.737975683544304,AL,0.435356200527704,0.258575197889182,0.237467018469657,0.0686015831134565,0.86,0.14
0.546722454672245,0.453277545327755,0.157601115760112,0.253835425383543,0.351464435146443,0.237099023709902,0.189679218967922,0.725244072524407,0.0850767085076709,0.121339912133891,0.0223162022315202,0.856346885634589,AR,0.300796812749004,0.344621513944223,0.286852589641434,0.0677290836653386,0.79,0.21
0.500683994528044,0.499316005471956,0.165526675786594,0.233926128590971,0.358413132694938,0.242134062927497,0.207934336525308,0.648426812585499,0.143638850889193,0.0410406716826265,0.0766083871409029,0.882353941176471,AZ,0.362694300518135,0.286010362694301,0.283937823834197,0.0673575129533679,0.67,0.33
0.537897822445561,0.462102177554439,0.185510887772194,0.246649916247906,0.358458961474037,0.209380234505863,0.263190954773869,0.599455611390285,0.137353433835846,0.0686777169179229,0.138610715242881,0.792714567839196,CA,0.269950272318257,0.42552687662799,0.234904096613782,0.0696187544399716,0.63,0.37
0.516025641025641,0.483974358974359,0.169230769230769,0.263461538461538,0.393589743589744,0.173717948717949,0.286538461538462,0.575,0.138461538461538,0.0294881794871795,0.0288471538461538,0.941667666666667,CO,0.314720812182741,0.32741116751269,0.310913705583756,0.0469543147208122,0.64,0.36
0.544897959183673,0.455102040816327,0.124489795918367,0.198639455782313,0.441496598639456,0.235374149659864,0.254421768707483,0.56530612244898,0.180272108843537,0.0673479387755102,0.0340146054421769,0.898640455782313,CT,0.189138576779026,0.376404494382022,0.383895131086142,0.050561797752809,0.7,0.3
0.551842330762639,0.448157669237361,0.258783204798629,0.295629820051414,0.275064267352185,0.170522707797772,0.290488431876607,0.399314481576692,0.310197086546701,0.465296629820051,0.0334200231362468,0.501286347043702,DC,0.139784946236559,0.666666666666667,0.172043010752688,0.021505376344086,0.65,0.35
0.53397212543554,0.46602787456446,0.104529616724739,0.225609756097561,0.395470383275261,0.274390243902439,0.21602787456446,0.648954703832753,0.135017421602787,0.187283229965157,0.0270044843205575,0.785715285714286,DE,0.298969072164948,0.407216494845361,0.257731958762887,0.0360824742268041,0.69,0.31
0.536920659858602,0.463079340141398,0.133542812254517,0.198743126472899,0.391201885310291,0.276512175962294,0.220738413197172,0.672034564021995,0.107227022780833,0.124510033778476,0.0326011571091909,0.842891809112333,FL,0.327065351418002,0.38964241676942,0.230579531442663,0.0527127003699137,0.7,0.3
0.551971326164875,0.448028673835125,0.176344086021505,0.287455197132616,0.374193548387097,0.162007168458781,0.217921146953405,0.673835125448029,0.108243727598566,0.282438275985663,0.0308253727598566,0.68673935125448,GA,0.349062702003878,0.341952165481577,0.239172592113769,0.0698125404007757,0.79,0.21
0.51690294438386,0.48309705561614,0.121046892039258,0.225736095965104,0.383860414394766,0.269356597600872,0.261723009814613,0.609596510359869,0.128680479825518,0.0174492006543075,0.634679298800436,0.347874500545256,HI,0.175,0.375,0.341666666666667,0.108333333333333,0.63,0.37
0.526647966339411,0.473352033660589,0.161290322580645,0.245441795231417,0.365357643758766,0.227910238429173,0.201963534361851,0.701963534361851,0.0960729312762973,0.017532556802244,0.0196363436185133,0.962834099579243,IA,0.246268656716418,0.382462686567164,0.309701492537313,0.0615671641791045,0.77,0.23
0.51747311827957,0.48252688172043,0.141129032258065,0.275537634408602,0.364247311827957,0.219086021505376,0.231182795698925,0.672043010752688,0.0967741935483871,1e-06,0.0201622903225806,0.979839709677419,ID,0.381679389312977,0.206106870229008,0.33206106870229,0.0801526717557252,0.67,0.33
0.543917332080789,0.456082667919211,0.164396430248943,0.258806951620479,0.375293565054016,0.201503053076562,0.237200563644904,0.616251761390324,0.146547674964772,0.139972817754814,0.0399258473461719,0.820104334899014,IL,0.234177215189873,0.438656280428432,0.259493670886076,0.0676728334956183,0.71,0.29
0.523988711194732,0.476011288805268,0.140169332079022,0.219190968955786,0.421448730009407,0.219190968955786,0.218250235183443,0.687676387582314,0.0940733772342427,0.077141169332079,0.00846760395108184,0.914394226716839,IN,0.328816621499548,0.351400180668473,0.252032520325203,0.0677506775067751,0.72,0.28
0.536536536536537,0.463463463463463,0.158158158158158,0.234234234234234,0.389389389389389,0.218218218218218,0.253253253253253,0.616616616616617,0.13013013013013,0.0630640630630631,0.037038037037037,0.8999008998999,KS,0.370932754880694,0.255965292841649,0.295010845986985,0.0780911062906725,0.76,0.24
0.523255813953488,0.476744186046512,0.146317829457364,0.248062015503876,0.390503875968992,0.215116279069767,0.14922480620155,0.765503875968992,0.0852713178294574,0.0717064263565892,0.0155048759689922,0.912791697674419,KY,0.366552119129439,0.396334478808706,0.199312714776632,0.0378006872852234,0.76,0.24
0.567602040816326,0.432397959183673,0.156887755102041,0.239795918367347,0.391581632653061,0.211734693877551,0.149234693877551,0.760204081632653,0.0905612244897959,0.318878551020408,0.0178581428571429,0.663266306122449,LA,0.341836734693878,0.32312925170068,0.270408163265306,0.0646258503401361,0.84,0.16
